ProductoId,ReorderPoint,ABC,lead_time
58,40,B: 100-1k,7.758389261744966
60,17,B: 100-1k,7.65979381443299
61,15,C: <100,8.115384615384615
62,21,B: 100-1k,7.331569664902998
63,19,B: 100-1k,7.324427480916031
72,6,C: <100,8.636363636363637
75,2,C: <100,7.0
77,113,B: 100-1k,7.292161520190024
79,52,B: 100-1k,7.270161290322581
82,4,C: <100,6.333333333333333
86,2,C: <100,7.333333333333333
100,2,C: <100,6.866666666666666
104,6,C: <100,8.666666666666666
106,27,B: 100-1k,7.961038961038961
108,5,C: <100,8.333333333333334
109,6,C: <100,8.512195121951219
111,4,C: <100,8.6
112,9,C: <100,7.409090909090909
113,4,C: <100,7.4375
114,5,C: <100,7.921052631578948
115,80,B: 100-1k,7.402730375426621
120,9,C: <100,8.916666666666666
122,3,C: <100,11.0
123,2,C: <100,6.4
126,311,A: 1k-30k,7.7263005780346825
129,2,C: <100,7.0
143,2,C: <100,5.0
151,2,C: <100,8.0
159,28,B: 100-1k,8.479452054794521
161,4,C: <100,10.0
162,17,C: <100,8.0625
165,3,C: <100,6.516129032258065
168,38,B: 100-1k,7.279620853080568
171,73,B: 100-1k,7.664959016393443
173,7,C: <100,4.662790697674419
175,14,C: <100,7.062992125984252
178,27,B: 100-1k,7.36318407960199
184,37,C: <100,4.481481481481482
187,14,C: <100,6.0
188,14,C: <100,7.0
189,3,C: <100,8.5
190,85,C: <100,8.88888888888889
192,12,C: <100,7.83984375
194,3,C: <100,8.857142857142858
199,5,C: <100,11.0
200,8,C: <100,8.593939393939394
201,3,C: <100,7.142857142857143
202,9,C: <100,7.523809523809524
204,2,C: <100,8.5
207,2,C: <100,6.2
211,21,B: 100-1k,7.5656108597285066
213,10,C: <100,7.362637362637362
216,14,C: <100,7.0
217,17,C: <100,7.222222222222222
222,3,C: <100,7.0588235294117645
226,3,C: <100,7.923076923076923
233,13,C: <100,7.951515151515151
240,5,C: <100,8.0
247,4,C: <100,8.403508771929825
248,2,C: <100,9.666666666666666
249,2,C: <100,8.529411764705882
253,108,B: 100-1k,8.370967741935484
254,9,C: <100,7.775862068965517
258,4,C: <100,9.4
261,4,C: <100,8.0
269,50,B: 100-1k,7.347517730496454
272,29,B: 100-1k,7.741573033707865
273,78,B: 100-1k,7.49812734082397
274,4,C: <100,6.428571428571429
276,2,C: <100,6.0
278,5,C: <100,8.3
281,8,C: <100,7.897435897435898
283,5,C: <100,7.7701149425287355
284,7,C: <100,7.838095238095238
290,8,C: <100,7.539906103286385
294,71,B: 100-1k,7.8
298,5,C: <100,7.538461538461538
304,2,C: <100,9.5
305,97,B: 100-1k,7.602453987730061
308,6,C: <100,8.933333333333334
311,10,C: <100,7.077669902912621
313,4,C: <100,7.9375
317,2,C: <100,10.0
319,2,C: <100,7.333333333333333
323,5,C: <100,8.39655172413793
336,2,C: <100,7.8
338,2,C: <100,9.75
344,11,C: <100,8.354609929078014
350,10,C: <100,8.015873015873016
354,2,C: <100,11.0
356,14,C: <100,8.647058823529411
361,29,B: 100-1k,7.442413162705667
363,9,C: <100,11.0
364,3,C: <100,9.0
366,23,C: <100,9.5
369,2,C: <100,6.5
370,9,C: <100,8.296296296296296
372,7,C: <100,9.5
376,21,B: 100-1k,7.340298507462687
377,3,C: <100,7.594512195121951
381,45,B: 100-1k,6.870917573872473
384,12,C: <100,7.65
388,99,B: 100-1k,7.498064516129032
399,14,C: <100,9.5
401,8,C: <100,12.0
405,4,C: <100,7.127572016460905
407,2,C: <100,8.333333333333334
408,106,B: 100-1k,7.509193776520509
415,106,B: 100-1k,7.158536585365853
419,40,B: 100-1k,7.686792452830189
426,58,B: 100-1k,8.356164383561644
427,2,C: <100,9.0
428,39,B: 100-1k,7.32824427480916
435,27,B: 100-1k,7.418544194107453
437,4,C: <100,7.0
438,69,B: 100-1k,7.904191616766467
441,7,C: <100,8.0
443,67,B: 100-1k,7.820245979186376
